Product Name,SIZE,COLOUR,Brand,Category,Details ,SELLING PRICE INCLUDING GST ( Y / N ),Discount ,title
K-22-629 - Beige ,"36 - 0
37 - 2
38 - 1
39 - 2
40 - 2
41 - 1",Beige,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA 
Colour - Beige
Sole - TPR",3265,,"
Women Beige Casual Ballerinas"
K-22-629 - Rust ,"36 - 1
37 - 2
38 - 1
39 - 2
40 - 1
41 - 1",Rust,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA 
Colour - Rust
Sole - TPR",3265,,Women Rust Casual Ballerinas
K-22-629 - Chico,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 0",Chico,TAGS,TV,"Upper Material - Leather 
Heel Type - Flat
Heel Height - NA 
Colour - Chico
Sole - TPR",3265,,Women Chico Casual Ballerinas
K-22-480 - Marron,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Brownx,TAGS,TV,"Upper Material - Leather 
Heel Type - Block
Heel Height - 3 
Colour - Brownx
Sole - TPR",3435,,
K-22-480  - Black ,"36 - 1
37 - 2
38 - 1
39 - 2
40 - 2
41 - 0",Black,TAGS,TV,"Upper Material - Leather 
Heel Type - Block
Heel Height - 3 
Colour - Black
Sole - TPR",3435,,
K-22-480 - Rust ,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Rust,TAGS,TV,"Upper Material - Leather 
Heel Type - Block
Heel Height - 3 
Colour - Rust
Sole - TPR",3435,,
K-23-857 - Orange ,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",Orange,TAGS,TV,"Upper Material - Leather 
Heel Type - Wedges
Heel Height - 2 
Colour - Orange
Sole - TPR",3325,,
K-23-857 -M. Green ,"36 - 1
37 - 2
38 - 2
39 - 2
40 - 2
41 - 1",M. Green,TAGS,TV,"Upper Material - Leather 
Heel Type - Wedges
Heel Height - 2 
Colour - M. Green
Sole - TPR",3325,,
K-23-857 - M.Yellow,"36 - 1
37 - 2
38 - 2
39 - 1
40 - 2
41 - 1",M. Yellow,TAGS,TV,"Upper Material - Leather 
Heel Type - Wedges
Heel Height - 2 
Colour - M. Yellow
Sole - TPR",3325,,
K-23-535 - Rust,"36 - 0
37 - 0
38 - 1
39 - 2
40 - 2
41 - 1",Rust,TAGS,TV,"Upper Material - Leather 
Heel Type - Bolck
Heel Height - 2.5 
Colour - Rust
Sole - TPR",3465,,"Women Rust , Leather Block Heels Sandal "
